"word","n"
"dirty",5
"discount",5
"disgusting",5
"disinfect",5
"dogs",5
"domestic",5
"double",5
"doubt",5
"driven",5
"economies",5
"em",5
"emergencies",5
"ensuring",5
"eventually",5
"exclusively",5
"existing",5
"expose",5
"express",5
"extended",5
"eye",5
"fallout",5
"ffs",5
"finding",5
"fiscal",5
"fit",5
"football",5
"france",5
"freeze",5
"freezer",5
"freezers",5
"fridaythoughts",5
"fund",5
"gotta",5
"governments",5
"gross",5
"gtgt",5
"harm",5
"heavily",5
"heb",5
"helped",5
"hiking",5
"hoarded",5
"honestly",5
"horrible",5
"horror",5
"hotel",5
"hotline",5
"houses",5
"hr",5
"hundreds",5
"hurt",5
"hurting",5
"icymi",5
"idiot",5
"included",5
"increasingly",5
"indoors",5
"industries",5
"informed",5
"insecure",5
"insists",5
"involved",5
"irony",5
"israel",5
"jam",5
"jesus",5
"judging",5
"junk",5
"knowledge",5
"ladies",5
"laundry",5
"leadership",5
"leading",5
"letting",5
"lies",5
"limits",5
"lineups",5
"loading",5
"lockdowns",5
"lord",5
"loved",5
"maga",5
"mail",5
"mama",5
"manage",5
"measure",5
"mentioned",5
"mess",5
"messaging",5
"michigan",5
"minimize",5
"mortar",5
"msm",5
"na",5
"nature",5
"navigate",5
"necessity",5
"newyork",5
"norm",5
"ny",5
"ongoing",5
"organization",5
"outlets",5
"outrageous",5
"overnight",5
"pace",5
"pain",5
"paris",5
"passed",5
"patience",5
"pause",5
"payment",5
"peeps",5
"personally",5
"petition",5
"photos",5
"piece",5
"pizza",5
"platform",5
"pledge",5
"plummeting",5
"polite",5
"pop",5
"posted",5
"pounds",5
"pr",5
"practices",5
"precaution",5
"premium",5
"priority",5
"private",5
"professional",5
"protein",5
"proud",5
"pushing",5
"quit",5
"race",5
"rapidly",5
"react",5
"realise",5
"realize",5
"received",5
"regularly",5
"reportedly",5
"reporting",5
"respect",5
"retailer",5
"rethink",5
"rome",5
"rude",5
"rule",5
"rural",5
"sainsburys",5
"sanitizing",5
"scam",5
"scammers",5
"scenario",5
"seattle",5
"sector",5
"selfishness",5
"sells",5
"severe",5
"sharp",5
"shifting",5
"shifts",5
"shout",5
"situations",5
"skin",5
"smh",5
"snack",5
"solution",5
"sound",5
"stable",5
"starbucks",5
"stash",5
"staysafe",5
"stick",5
"stopping",5
"stressed",5
"subscribe",5
"suck",5
"supporting",5
"supposed",5
"tap",5
"taproom",5
"taxes",5
"tbh",5
"ten",5
"terrible",5
"terrifying",5
"texas",5
"thanksgiving",5
"thursdaythoughts",5
"tin",5
"tiny",5
"trading",5
"trend",5
"trump2020",5
"understanding",5
"united",5
"university",5
"upside",5
"urgency",5
"urging",5
"vegetable",5
"vendors",5
"version",5
"vigilant",5
"viral",5
"viruscorona",5
"wage",5
"walked",5
"warned",5
